Date;Time;DoW;Detector;Direction;Detected
14-11-2007;00:00:00;Wed;D13;N;21
14-11-2007;00:00:00;Wed;D14;N;19
14-11-2007;00:00:00;Wed;D5;N;30
14-11-2007;00:00:00;Wed;D6;S;29
14-11-2007;00:00:00;Wed;D7;N;33
14-11-2007;00:00:00;Wed;D8;S;36
14-11-2007;00:00:00;Wed;D15;S;26
14-11-2007;00:00:00;Wed;D18;N;47
14-11-2007;00:15:00;Wed;D3;S;20
14-11-2007;00:15:00;Wed;D4;S;38
14-11-2007;00:15:00;Wed;D13;N;16
14-11-2007;00:15:00;Wed;D14;N;19
14-11-2007;00:15:00;Wed;D5;N;22
14-11-2007;00:15:00;Wed;D6;S;36
14-11-2007;00:15:00;Wed;D7;N;21
14-11-2007;00:15:00;Wed;D8;S;35
14-11-2007;00:15:00;Wed;D15;S;22
14-11-2007;00:15:00;Wed;D18;N;33
14-11-2007;00:30:00;Wed;D3;S;13
14-11-2007;00:30:00;Wed;D4;S;20
14-11-2007;00:30:00;Wed;D13;N;16
14-11-2007;00:30:00;Wed;D14;N;14
14-11-2007;00:30:00;Wed;D5;N;25
14-11-2007;00:30:00;Wed;D6;S;27
14-11-2007;00:30:00;Wed;D7;N;27
14-11-2007;00:30:00;Wed;D8;S;28
14-11-2007;00:30:00;Wed;D15;S;22
14-11-2007;00:30:00;Wed;D18;N;29
14-11-2007;00:45:00;Wed;D3;S;13
14-11-2007;00:45:00;Wed;D4;S;20
14-11-2007;00:45:00;Wed;D13;N;20
14-11-2007;00:45:00;Wed;D14;N;19
14-11-2007;00:45:00;Wed;D5;N;23
14-11-2007;00:45:00;Wed;D6;S;24
14-11-2007;00:45:00;Wed;D7;N;30
14-11-2007;00:45:00;Wed;D8;S;23
14-11-2007;00:45:00;Wed;D15;S;29
14-11-2007;00:45:00;Wed;D18;N;31
14-11-2007;01:00:00;Wed;D3;S;14
14-11-2007;01:00:00;Wed;D4;S;18
14-11-2007;01:00:00;Wed;D13;N;17
14-11-2007;01:00:00;Wed;D14;N;17
14-11-2007;01:00:00;Wed;D5;N;13
14-11-2007;01:00:00;Wed;D6;S;18
14-11-2007;01:00:00;Wed;D7;N;23
14-11-2007;01:00:00;Wed;D8;S;20
14-11-2007;01:00:00;Wed;D15;S;34
14-11-2007;01:00:00;Wed;D18;N;22
14-11-2007;01:15:00;Wed;D3;S;12
14-11-2007;01:15:00;Wed;D4;S;16
14-11-2007;01:15:00;Wed;D13;N;10
14-11-2007;01:15:00;Wed;D14;N;11
14-11-2007;01:15:00;Wed;D5;N;13
14-11-2007;01:15:00;Wed;D6;S;18
14-11-2007;01:15:00;Wed;D7;N;14
14-11-2007;01:15:00;Wed;D8;S;19
14-11-2007;01:15:00;Wed;D15;S;29
14-11-2007;01:15:00;Wed;D18;N;18
14-11-2007;01:30:00;Wed;D3;S;4
14-11-2007;01:30:00;Wed;D4;S;5
14-11-2007;01:30:00;Wed;D13;N;3
14-11-2007;01:30:00;Wed;D14;N;3
14-11-2007;01:30:00;Wed;D5;N;15
14-11-2007;01:30:00;Wed;D6;S;16
14-11-2007;01:30:00;Wed;D7;N;18
14-11-2007;01:30:00;Wed;D8;S;15
14-11-2007;01:30:00;Wed;D15;S;13
14-11-2007;01:30:00;Wed;D18;N;17
14-11-2007;01:45:00;Wed;D3;S;4
14-11-2007;01:45:00;Wed;D4;S;6
14-11-2007;01:45:00;Wed;D13;N;4
14-11-2007;01:45:00;Wed;D14;N;4
14-11-2007;01:45:00;Wed;D5;N;12
14-11-2007;01:45:00;Wed;D6;S;19
14-11-2007;01:45:00;Wed;D7;N;15
14-11-2007;01:45:00;Wed;D8;S;16
14-11-2007;01:45:00;Wed;D15;S;15
14-11-2007;01:45:00;Wed;D18;N;26
14-11-2007;02:15:00;Wed;D3;S;6
14-11-2007;02:15:00;Wed;D4;S;9
14-11-2007;02:15:00;Wed;D13;N;5
14-11-2007;02:15:00;Wed;D14;N;5
14-11-2007;02:15:00;Wed;D5;N;7
14-11-2007;02:15:00;Wed;D6;S;13
14-11-2007;02:15:00;Wed;D7;N;7
14-11-2007;02:15:00;Wed;D8;S;11
14-11-2007;02:15:00;Wed;D15;S;8
14-11-2007;02:15:00;Wed;D18;N;7
14-11-2007;02:30:00;Wed;D3;S;2
14-11-2007;02:30:00;Wed;D4;S;2
14-11-2007;02:30:00;Wed;D13;N;3
14-11-2007;02:30:00;Wed;D14;N;2
14-11-2007;02:30:00;Wed;D5;N;11
14-11-2007;02:30:00;Wed;D6;S;6
14-11-2007;02:30:00;Wed;D7;N;9
14-11-2007;02:30:00;Wed;D8;S;6
14-11-2007;02:30:00;Wed;D15;S;6
14-11-2007;02:30:00;Wed;D18;N;10
14-11-2007;02:45:00;Wed;D3;S;2
14-11-2007;02:45:00;Wed;D4;S;3
14-11-2007;02:45:00;Wed;D13;N;2
14-11-2007;02:45:00;Wed;D14;N;2
14-11-2007;02:45:00;Wed;D5;N;10
14-11-2007;02:45:00;Wed;D6;S;11
14-11-2007;02:45:00;Wed;D7;N;13
14-11-2007;02:45:00;Wed;D8;S;11
14-11-2007;02:45:00;Wed;D15;S;12
14-11-2007;02:45:00;Wed;D18;N;13
14-11-2007;03:00:00;Wed;D3;S;2
14-11-2007;03:00:00;Wed;D4;S;2
14-11-2007;03:00:00;Wed;D13;N;2
14-11-2007;03:00:00;Wed;D14;N;3
14-11-2007;03:00:00;Wed;D5;N;4
14-11-2007;03:00:00;Wed;D6;S;5
14-11-2007;03:00:00;Wed;D7;N;4
14-11-2007;03:00:00;Wed;D8;S;4
14-11-2007;03:00:00;Wed;D15;S;6
14-11-2007;03:00:00;Wed;D18;N;4
14-11-2007;03:15:00;Wed;D3;S;4
14-11-2007;03:15:00;Wed;D4;S;5
14-11-2007;03:15:00;Wed;D13;N;5
14-11-2007;03:15:00;Wed;D14;N;5
14-11-2007;03:15:00;Wed;D5;N;2
14-11-2007;03:15:00;Wed;D6;S;3
14-11-2007;03:15:00;Wed;D7;N;2
14-11-2007;03:15:00;Wed;D8;S;2
14-11-2007;03:15:00;Wed;D15;S;2
14-11-2007;03:15:00;Wed;D18;N;2
14-11-2007;04:00:00;Wed;D3;S;6
14-11-2007;04:00:00;Wed;D4;S;8
14-11-2007;04:00:00;Wed;D13;N;10
14-11-2007;04:00:00;Wed;D14;N;11
14-11-2007;04:00:00;Wed;D5;N;13
14-11-2007;04:00:00;Wed;D6;S;11
14-11-2007;04:00:00;Wed;D7;N;13
14-11-2007;04:00:00;Wed;D8;S;9
14-11-2007;04:00:00;Wed;D15;S;15
14-11-2007;04:00:00;Wed;D18;N;13
14-11-2007;04:30:00;Wed;D3;S;4
14-11-2007;04:30:00;Wed;D4;S;3
14-11-2007;04:30:00;Wed;D13;N;3
14-11-2007;04:30:00;Wed;D14;N;4
14-11-2007;04:30:00;Wed;D5;N;5
14-11-2007;04:30:00;Wed;D6;S;4
14-11-2007;04:30:00;Wed;D7;N;4
14-11-2007;04:30:00;Wed;D8;S;4
14-11-2007;04:30:00;Wed;D15;S;5
14-11-2007;04:30:00;Wed;D18;N;4
14-11-2007;04:45:00;Wed;D3;S;8
14-11-2007;04:45:00;Wed;D4;S;8
14-11-2007;04:45:00;Wed;D13;N;9
14-11-2007;04:45:00;Wed;D14;N;11
14-11-2007;04:45:00;Wed;D5;N;20
14-11-2007;04:45:00;Wed;D6;S;19
14-11-2007;04:45:00;Wed;D7;N;22
14-11-2007;04:45:00;Wed;D8;S;21
14-11-2007;04:45:00;Wed;D15;S;24
14-11-2007;04:45:00;Wed;D18;N;29
14-11-2007;05:00:00;Wed;D3;S;6
14-11-2007;05:00:00;Wed;D4;S;6
14-11-2007;05:00:00;Wed;D13;N;6
14-11-2007;05:00:00;Wed;D14;N;10
14-11-2007;05:00:00;Wed;D5;N;22
14-11-2007;05:00:00;Wed;D6;S;17
14-11-2007;05:00:00;Wed;D7;N;21
14-11-2007;05:00:00;Wed;D8;S;17
14-11-2007;05:00:00;Wed;D15;S;23
14-11-2007;05:00:00;Wed;D18;N;26
14-11-2007;05:15:00;Wed;D3;S;12
14-11-2007;05:15:00;Wed;D4;S;24
14-11-2007;05:15:00;Wed;D13;N;21
14-11-2007;05:15:00;Wed;D14;N;23
14-11-2007;05:15:00;Wed;D5;N;29
14-11-2007;05:15:00;Wed;D6;S;31
14-11-2007;05:15:00;Wed;D7;N;24
14-11-2007;05:15:00;Wed;D8;S;32
14-11-2007;05:15:00;Wed;D15;S;37
14-11-2007;05:15:00;Wed;D18;N;29
14-11-2007;05:30:00;Wed;D3;S;22
14-11-2007;05:30:00;Wed;D4;S;27
14-11-2007;05:30:00;Wed;D13;N;34
14-11-2007;05:30:00;Wed;D14;N;42
14-11-2007;05:30:00;Wed;D5;N;41
14-11-2007;05:30:00;Wed;D6;S;31
14-11-2007;05:30:00;Wed;D7;N;44
14-11-2007;05:30:00;Wed;D8;S;30
14-11-2007;05:30:00;Wed;D15;S;34
14-11-2007;05:30:00;Wed;D18;N;37
14-11-2007;05:45:00;Wed;D3;S;42
14-11-2007;05:45:00;Wed;D4;S;54
14-11-2007;05:45:00;Wed;D13;N;51
14-11-2007;05:45:00;Wed;D14;N;57
14-11-2007;05:45:00;Wed;D5;N;71
14-11-2007;05:45:00;Wed;D6;S;63
14-11-2007;05:45:00;Wed;D7;N;62
14-11-2007;05:45:00;Wed;D8;S;66
14-11-2007;05:45:00;Wed;D15;S;67
14-11-2007;05:45:00;Wed;D18;N;75
14-11-2007;06:00:00;Wed;D3;S;59
14-11-2007;06:00:00;Wed;D4;S;71
14-11-2007;06:00:00;Wed;D13;N;81
14-11-2007;06:00:00;Wed;D14;N;108
14-11-2007;06:00:00;Wed;D5;N;112
14-11-2007;06:00:00;Wed;D6;S;98
14-11-2007;06:00:00;Wed;D7;N;105
14-11-2007;06:00:00;Wed;D8;S;97
14-11-2007;06:00:00;Wed;D15;S;87
14-11-2007;06:00:00;Wed;D18;N;124
14-11-2007;06:15:00;Wed;D3;S;54
14-11-2007;06:15:00;Wed;D4;S;77
14-11-2007;06:15:00;Wed;D13;N;124
14-11-2007;06:15:00;Wed;D14;N;137
14-11-2007;06:15:00;Wed;D5;N;133
14-11-2007;06:15:00;Wed;D6;S;94
14-11-2007;06:15:00;Wed;D7;N;136
14-11-2007;06:15:00;Wed;D8;S;94
14-11-2007;06:15:00;Wed;D15;S;110
14-11-2007;06:15:00;Wed;D18;N;152
14-11-2007;06:30:00;Wed;D3;S;86
14-11-2007;06:30:00;Wed;D4;S;136
14-11-2007;06:30:00;Wed;D13;N;141
14-11-2007;06:30:00;Wed;D14;N;164
14-11-2007;06:30:00;Wed;D5;N;200
14-11-2007;06:30:00;Wed;D6;S;146
14-11-2007;06:30:00;Wed;D7;N;181
14-11-2007;06:30:00;Wed;D8;S;150
14-11-2007;06:30:00;Wed;D15;S;133
14-11-2007;06:30:00;Wed;D18;N;231
14-11-2007;06:45:00;Wed;D3;S;148
14-11-2007;06:45:00;Wed;D4;S;250
14-11-2007;06:45:00;Wed;D13;N;250
14-11-2007;06:45:00;Wed;D14;N;255
14-11-2007;06:45:00;Wed;D5;N;342
14-11-2007;06:45:00;Wed;D6;S;271
14-11-2007;06:45:00;Wed;D7;N;310
14-11-2007;06:45:00;Wed;D8;S;272
14-11-2007;06:45:00;Wed;D15;S;234
14-11-2007;06:45:00;Wed;D18;N;361
14-11-2007;07:00:00;Wed;D3;S;196
14-11-2007;07:00:00;Wed;D4;S;322
14-11-2007;07:00:00;Wed;D13;N;317
14-11-2007;07:00:00;Wed;D14;N;348
14-11-2007;07:00:00;Wed;D5;N;408
14-11-2007;07:00:00;Wed;D6;S;342
14-11-2007;07:00:00;Wed;D7;N;384
14-11-2007;07:00:00;Wed;D8;S;343
14-11-2007;07:00:00;Wed;D15;S;279
14-11-2007;07:00:00;Wed;D18;N;411
14-11-2007;07:15:00;Wed;D3;S;273
14-11-2007;07:15:00;Wed;D4;S;354
14-11-2007;07:15:00;Wed;D13;N;378
14-11-2007;07:15:00;Wed;D14;N;384
14-11-2007;07:15:00;Wed;D5;N;457
14-11-2007;07:15:00;Wed;D6;S;365
14-11-2007;07:15:00;Wed;D7;N;413
14-11-2007;07:15:00;Wed;D8;S;355
